hostname,mx_domain
pingan.com,pingan.com.cn
vanke.com,outlook.com
zte.com.cn,zte.com.cn
zoomlion.com,qq.com
swhygh.com,swhygh.com
jsessh.com,corp-email.cn
jsessh.com,corpemail.net
jsessh.com,corpsmtp.net
jsessh.com,jsessh.com
jsessh.com,corpsmtp.cn
midea.com,midea.com
xcmg.com,263xmail.com
yunnanbaiyao.com.cn,yunnanbaiyao.com.cn
yunnanbaiyao.com.cn,icoremail.net
lzlj.com,eyou.net
lzlj.com,lzlj.com
changan.com.cn,qq.com
ccht.jl.cn,mxhichina.com
citicsteel.com,citicsteel.com
boe.com,boe.com
xac.com.cn,avic.com
gf.com.cn,gf.com.cn
bnbm.com.cn,qq.com
qhyhgf.com,qq.com
fawjiefang.com.cn,fawjiefang.com.cn
wuliangye.com.cn,wuliangye.com.cn
sinoma-tianshan.cn,NA.NA
shuanghui.net,netease.com
thunis.com,thunis.com
eastchinapharm.com,eastchinapharm.com
inspur.com,biz-email.net
inspur.com,corpsmtp.cn
inspur.com,corp-email.cn
inspur.com,corpemail.net
inspur.com,corpsmtp.net
cmsk1979.com,qq.com
cnhu.com,aliyun.com
hualanbio.com,mxhichina.com
hanslaser.com,hanslaser.com
focusmedia.cn,focusmedia.cn
gosinoic.com,gosinoic.com
zjshc.com,263.net
gotion.com.cn,qq.com
yundaex.com,qq.com
tjsemi.com,263.net
nbcb.com.cn,cn4e.com
jonhon.cn,avic.com
goldwind.com.cn,goldwind.com.cn
iflytek.com,iflytek.com
dahuatech.com,dahuainc.net
dahuatech.com,dahuatech.com
goertek.com,goertek.com
goertek.com,icoremail.net
raas-corp.com,mxhichina.com
yuhong.com.cn,qq.com
chinayanghe.com,mxhichina.com
haid.com.cn,haid.com.cn
sf-express.com,sf-express.com
naura.com,safenext.cn
glodon.com,corpsmtp.cn
glodon.com,corpsmtp.net
glodon.com,biz-email.net
wuhan-guide.com,mxhichina.com
hikvision.com,hikvision.com
ganfenglithium.com,netease.com
tianqilithium.com,outlook.cn
luxshare-ict.com,outlook.com
cnrspc.com,263.net
bairun.net,bairun.net
jpmf.com.cn,lingyiitech.com
jpmf.com.cn,qq.com
billionschem.com,qq.com
sjhuatong.com,cn4e.com
offcn.com,offcn.com
tinci.com,icewarp.cn
muyuanfoods.com,aliyun.com
guosen.com.cn,guosen.com.cn
kinlong.com,263xmail.com
cxxcl.cn,263.net
asymchem.com.cn,asymchem.com.cn
cvte.com,qq.com
scc.com.cn,intel-mail.com
scc.com.cn,scc.com.cn
desaysv.com,desaysv.com
desaysv.com,corpsmtp.cn
desaysv.com,corpsmtp.net
avaryholding.com,avaryholding.com
lepumedical.com,lepumedical.com
evebattery.com,biz-email.net
evebattery.com,corpsmtp.net
evebattery.com,corpsmtp.cn
aierchina.com,qq.com
10jqka.com.cn,10jqka.com.cn
eastmoney.com,eastmoney.com
zhifeishengwu.com,qq.com
inovance.com,inovance.com
walvax.com,netease.com
walvax.com,walvax.com
sunwoda.com,intel-email.com
sunwoda.com,intel-amail.com
ingenic.com,ingenic.com
sungrowpower.com,sungrowpower.com
jsjd.cc,qq.com
tigermedgrp.com,outlook.com
cctc.cc,mxhichina.com
mgtv.com,outlook.cn
hnlens.com,hnlens.com
leadchina.cn,netease.com
sangfor.com.cn,netease.com
thundersoft.com,netease.com
wens.com.cn,wens.com.cn
jafron.com,jafron.com
orthok.cn,qq.com
biokangtai.com,qq.com
yealink.com,corpsmtp.net
yealink.com,corpsmtp.cn
yealink.com,corpemail.net
yealink.com,corp-email.cn
sg-micro.com,qq.com
catl.com,outlook.com
maxwell-gp.com,cn4e.com
mindray.com,mindray.com
ginlong.com,qq.com
maxscend.com,mxhichina.com
anker-in.com,feishu.cn
cngrgf.com.cn,qq.com
huali-group.com,huali-group.com
spdb.com.cn,spdb.com.cn
shairport.com,shairport.com
hpi.com.cn,hpi.com.cn
hxb.com.cn,hxb.com.cn
cmbc.com.cn,cmbc.com.cn
