mx_country,mx_country_group
China,China
United States,United States
Unknown,Unknown
France,European Union
Cayman Islands,Other
United Kingdom,United Kingdom
Taiwan,Other
Switzerland,Other
British Virgin Islands,Other
Netherlands,European Union
Spain,European Union
Germany,European Union
Denmark,European Union
Belgium,European Union
Finland,European Union
Italy,European Union
Sweden,European Union
Luxembourg,European Union
Norway,Other
Australia,Other
Russia,Russia
Cyprus,European Union
Ireland,European Union
Canada,Other
