"identifier_ric","company_name","ticker_symbol","naics_sector_name","organization_website","contact_email_address","country_of_headquarters","index_name","mx_company_name","mx_country","mx_type","mx_country_group","mx_type_group"
"000001.SZ","Ping An Bank Co Ltd","000001","Finance and Insurance","http://bank.pingan.com","pabdsh@pingan.com.cn","China (Mainland)","CSI 300","Ping An Bank Co Ltd","China","Provider","China","Self"
"000002.SZ","China Vanke Co Ltd","000002","Construction","https://www.vanke.com/","IR@vanke.com","China (Mainland)","CSI 300","Microsoft","United States","Provider","United States","Managed"
"000063.SZ","ZTE Corp","000063","Manufacturing","https://www.zte.com.cn","IR@zte.com.cn","China (Mainland)","CSI 300","ZTE Corp","China","Provider","China","Self"
"000066.SZ","China Greatwall Technology Group Co Ltd","000066","Manufacturing","http://www.greatwall.cn","stock@greatwall.com.cn","China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"000069.SZ","Shenzhen Overseas Chinese Town Co Ltd","000069","Arts, Entertainment, and Recreation","https://www.octholding.com/","000069IR@chinaoct.com","China (Mainland)","CSI 300","Coremail","China","Provider","China","Managed"
"000100.SZ","TCL Technology Group Corp","000100","Manufacturing","https://www.tcltech.com/",,"China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"000157.SZ","Zoomlion Heavy Industry Science and Technology Co Ltd","000157","Manufacturing","http://www.zoomlion.com","ir@zoomlion.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"000166.SZ","Shenwan Hongyuan Group Co Ltd","000166","Finance and Insurance","http://www.swhygh.com/",,"China (Mainland)","CSI 300","Shenwan Hongyuan Group Co Ltd","China","Provider","China","Self"
"000301.SZ","Jiangsu Eastern Shenghong Co Ltd","000301","Manufacturing","http://www.jsessh.com/","jun.wang@jsessh.com","China (Mainland)","CSI 300","Shanghai Qingyu","China","Provider","China","Managed"
"000333.SZ","Midea Group Co Ltd","000333","Manufacturing","https://www.midea.com/global","IR@midea.com","China (Mainland)","CSI 300","Midea Group Co Ltd","China","Provider","China","Self"
